"Geneid","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NXF3",151.916873351373,1.70768095611252,0.370291555758185,4.61171995298672,4.1388393217122e-05,8.37636341504367e-05
"BEX4",1585.38686669501,1.07981007274999,0.102240892734386,10.5614304009968,2.40454681874767e-16,1.0002839344016e-15
"TCEAL8",1521.27301430013,0.00102318016096355,0.0560487228101842,0.0182551913703488,0.99999930242378,0.999999999984865
"TCEAL5",16.763027466207,2.75152025116514,0.394833540823735,6.96881081942706,1.18199297865927e-10,3.56428748147643e-10
"BEX2",430.057438360008,-0.143070082847034,0.21547781929119,-0.663966636183998,0.724201942903866,0.81777167030758
"TCEAL7",143.703621604326,1.59539129508992,0.201863559471616,7.90331498793495,1.32463654355102e-11,4.24742634920963e-11
"TCEAL9",2058.57626673017,0.430625231791402,0.104649690308698,4.11492122452666,0.0421738213159161,0.0613553056577362
"BEX3",2586.04871981131,0.28360409721369,0.0983917924798257,2.88239587943111,0.36635100908362,0.451754897087726
"LL0XNC01-250H12.3",3.02186982057671,-7.25612574350419,0.26962618956975,-26.9117987206027,3.69812536943919e-149,2.37800667695453e-147
"RAB40A",76.0675243268309,-0.103694954408917,0.195054271682406,-0.531621038157815,0.808286367864088,0.89518980825031
"TCEAL4",5855.68141683535,1.9325696323122,0.0816327566010109,23.6739479686793,1.08317814687785e-94,3.87606075493221e-93
"TCEAL3",1564.33886061402,1.67380675265881,0.103798066417317,16.1256062895172,4.01140517814616e-43,4.71068167572006e-42
"TCEAL1",1140.98503926614,1.2534034143669,0.108826830236466,11.5174117599807,1.48295217705181e-20,7.65278336503876e-20
"MORF4L2",9048.55617912832,-0.126390756073911,0.057950399229841,-2.18101614058988,0.983538374700076,0.999999999984865
"MORF4L2-AS1",65.5168351261368,0.726097948901698,0.162930313015327,4.45649391733134,0.00173842512382552,0.00300011232332282
"GLRA4",10.1551344964245,0.602255586013911,0.385095334854404,1.56391296259564,0.193613793199641,0.253438078569884
"TMEM31",6.65385446502328,1.71837771761983,0.366926636842995,4.6831642761196,3.14679244714651e-05,6.42870277543553e-05
"PLP1",791.547649239148,4.74191514577477,0.246031159584501,19.273636533612,9.01728734160072e-75,2.27522993327904e-73
"RAB9B",160.402791245846,0.765522105896881,0.206371713269953,3.70943330249679,0.00624476544283515,0.0101263887128964
"TMSB15B",10.651734217618,-0.38522036478558,0.220493473210326,-1.74708284638486,0.27183409974796,0.345057103346995
"SLC25A53",109.646177681548,0.197206945680689,0.0989050610921033,1.99390145967398,0.703254481539477,0.797640712933225
"ZCCHC18",73.8601757527622,1.00650152724069,0.191565822764541,5.25407670698029,3.92322790372794e-05,7.95365397125317e-05
"FAM199X",2742.82909980962,-0.126730573171999,0.079835546296524,-1.5873953276564,0.938712092127965,0.998958102950535
"IL1RAPL2",2.81323695668134,-3.8655312888364,0.409022903849718,-9.45064751253311,4.81024248607247e-19,2.30726368793982e-18
"NRK",85.3968981365314,-3.02477786809208,0.264359655889165,-11.4419042418494,4.4952961362642e-26,2.92787550679946e-25
"SERPINA7",0.50468073802454,-2.0189763350158,0.972597768189007,-2.0758595187558,0.044296373165675,0.0642430804299907
"RNF128",540.267673111274,-0.66109933498988,0.242234108660692,-2.72917525382815,0.0449219224323682,0.0650811220055201
"TBC1D8B",379.350160802081,-1.7284758093117,0.140185807811014,-12.3298915653564,2.63499759437025e-26,1.73163979413245e-25
"MORC4",1698.77566027961,-0.179140226592213,0.0623471496612604,-2.87327051141077,0.872133823678362,0.948430256799611
"RIPPLY1",3.20946916452381,0.351995214237841,0.49006124635306,0.718267801947858,0.52721161455596,0.623255178878967
"CLDN2",208.737994070291,-1.64994351385919,0.42887099312864,-3.8471790825086,0.000553474527197675,0.00100839095622346
"RBM41",528.963900725165,-1.81176891176667,0.0649601131103825,-27.8904827134159,5.06490428832628e-128,2.63424678917362e-126
"NUP62CL",68.8661234295845,-1.58326583472126,0.208840859995926,-7.58120721563848,8.61909876359839e-11,2.62519414042713e-10
"FRMPD3",43.5215052252896,-1.69020316449757,0.255235339861417,-6.62213612509648,8.37274163842940e-09,2.23343277897513e-08
"PRPS1",1340.12970229394,-0.401997018209288,0.0879027832993081,-4.57320010949474,0.0418912071367598,0.060969232883542
"TSC22D3",32151.510360659,1.26453399235466,0.171765406173813,7.36198295409407,1.7471614533524e-09,4.87376969109215e-09
"NCBP2L",10.8906788845057,1.53911419957309,0.36152980301768,4.25722633853736,0.000181802515045248,0.000347522688880295
"MID2",773.211512910744,-0.906730248656014,0.0963434696619547,-9.41143444218383,4.66258163704789e-12,1.53585815489221e-11
"TEX13B",0.642726865165445,-2.17999244456307,0.573492402592701,-3.8012577580933,0.000393574839901862,0.000726863194318321
"VSIG1",53.2981187468215,-5.62582723462481,0.254419059181119,-22.1124441413009,2.11608368108037e-99,7.90550980854321e-98
"PSMD10",1587.84215615926,-0.129081570480075,0.0534019597939007,-2.41716916342119,0.988222379257218,0.999999999984865
"ATG4A",797.634885508985,-0.168511524956265,0.0732861294840463,-2.29936450652574,0.866914206402046,0.944491068819458
"COL4A6",1103.12529687642,0.31416827295938,0.201569491965897,1.55861023359891,0.377676348130285,0.464246776766764
"COL4A5",2750.02117984589,-0.150448510445183,0.1563856359623,-0.962035352667887,0.743023637986064,0.835026035275092
"IRS4",12.5692983688599,-6.68726130475977,0.387985248836366,-17.2358648294387,4.01379249523809e-62,7.84278791426816e-61
"GUCY2F",1.21590153962576,-2.7074350804262,0.618004303333038,-4.38093240746769,3.58355210230042e-05,7.29219175400988e-05
"NXT2",529.865440296409,-0.482275859595166,0.0856751591414942,-5.62912125787451,0.00335279144627755,0.00562020969191955
"KCNE5",14.5784567307834,0.775172120329131,0.306835883805548,2.52634115252433,0.0439048842303279,0.0637120729923791
"ACSL4",3676.45689514161,-0.710600379923463,0.148965693109384,-4.77022840018389,0.000994098993230942,0.00176333533698576
"TMEM164",3541.00256601955,0.0624150843343207,0.12335551288702,0.505977259334054,0.941490946346318,0.999999999984865
"MIR3978",0.126822973507927,-5.71040175047589,3.19574072241737,-1.7868789261966,0.0748410490545179,0.105153086203858
"AMMECR1",1313.20945290716,-0.101180727527465,0.139171896629511,-0.727019822089643,0.863349191797645,0.941770927360614
"SNORD96B",0.0528036122327641,-4.30208082354967,3.92511967608477,-1.09603812840706,0.274034359193596,0.347683653338602
"TDGF1P3",0.3953767043203,-2.36236934087414,0.852128956702604,-2.77231435722541,0.00767464559903037,0.0123217053500359
"CHRDL1",6563.32494873528,2.27321760942543,0.240526778546852,9.45099594797355,2.02209225449002e-17,8.88933035845832e-17
"PAK3",332.397929637858,-0.931597949097162,0.198957674083531,-4.68239264149237,0.000306447603682592,0.000571877420644147
"CAPN6",206.518789495314,1.50891371094477,0.299065747946548,5.04542469776396,1.27995298994737e-05,2.7095573071312e-05
"DCX",12.4460629268966,1.80499890274005,0.506328419221965,3.56487772405439,0.00109094284993734,0.00192481976184173
"ALG13",2323.36148702993,0.179072446001908,0.0514368853628454,3.48140142504154,0.916040901078069,0.984122515232717
"TRPC5",2.7050318614253,-5.16162873485252,0.313203084934473,-16.480133763473,1.00526221465974e-55,1.694333931301e-54
"TRPC5OS",2.96999352028965,-0.0174761106029179,0.47515953067004,-0.0367794592655527,0.974451618675547,0.999999999984865
"LHFPL1",6.39745142091223,-2.65565809912852,0.317343280611468,-8.36840816043595,1.71957033267162e-14,6.53578406936984e-14
"AMOT",811.087939052696,-1.27053402026531,0.133321517663416,-9.52984966367474,9.68944660749915e-15,3.72887299621204e-14
"HTR2C",2.35908201274986,-3.72260001025594,0.524633951222355,-7.09561400207245,1.80890392480719e-11,5.75055300140951e-11
"IL13RA2",41.8076804747138,-0.271890754974588,0.317522559352728,-0.85628799266685,0.522643701752309,0.618647813420204
"LRCH2",314.825178320932,0.0606115388863811,0.215313094720814,0.281504192603674,0.885026824664988,0.959302713357054
"RBMXL3",0.589793019078245,-3.64903963494864,0.602157720133735,-6.05993996745274,8.31765672648017e-09,2.21957590211154e-08
"PLS3-AS1",21.776578776414,-2.03272711359594,0.184127445708498,-11.0397833727301,1.79756048404072e-22,1.00857306904664e-21
"PLS3",15556.7022079711,-0.48965417896332,0.0883983702942838,-5.53917654062207,0.00335332225007998,0.00562065546182442
"DANT1",1.44584407623803,-8.42517125293895,0.917239687283077,-9.1853540244152,2.50375686648858e-19,1.21885112885725e-18
"DANT2",8.65611621452402,-6.20946338638957,0.239991887690566,-25.8736386723027,2.02657224713222e-136,1.15913377585298e-134
"AGTR2",60.2965458617681,-3.05487147250488,1.02815070023784,-2.97122928749471,0.00383888605289762,0.00638760778189348
"SLC6A14",953.007452931139,-3.12473784450202,0.437635738299916,-7.14004266799756,2.53688817867816e-11,7.99061409404045e-11
"CT83",3.67771782721184,-5.33553973170165,1.07450493490084,-4.96557955054345,1.20718447216728e-06,2.77775477113313e-06
"KLHL13",259.969941571782,-1.10725053630583,0.180097708544326,-6.1480545491411,9.68352526688628e-07,2.24278985116052e-06
"WDR44",1124.62850944461,-0.635212655801298,0.0749839585013996,-8.47131397830165,1.39380984062866e-07,3.43594851511852e-07
"DOCK11",2523.04496022598,-0.537895539927788,0.220308537798617,-2.44155558065333,0.09581736971042,0.131937939326246
"IL13RA1",5633.95199119427,-0.46913567410601,0.119484870104747,-3.92631865184888,0.0333267356146796,0.0491413612496353
"ZCCHC12",14.5467969223547,-0.706514866879128,0.367478441890036,-1.92260221646021,0.111686508732191,0.152136841397939
"LINC01285",5.21297910505892,-0.606247198067464,0.308191880109211,-1.96710957424522,0.126587856584318,0.170964505901173
"LONRF3",252.47651098723,-1.91751520647737,0.223459867949897,-8.58102720667188,4.25260393963725e-14,1.57542345668824e-13
"KIAA1210",5.1685251389815,-1.33990063200293,0.379037448519391,-3.53500857827345,0.00203097326169349,0.00348204351726071
"PGRMC1",4837.89697482189,-0.0596316918596228,0.0914438243127619,-0.652112838759529,0.981674462165189,0.999999999984865
"AKAP17BP",2.30945899079107,-4.56664395959604,0.408845016373773,-11.1696211931348,2.32893889962197e-26,1.53526198974769e-25
"SLC25A43",1783.70611863611,0.482618694479107,0.0969311257309848,4.97898575756284,0.00820123490628415,0.0131096199405913
"SLC25A5-AS1",70.224719288107,0.0342045623677847,0.11071253094993,0.308949330977302,0.979489697624369,0.999999999984865
"SLC25A5",13634.2253919965,0.390437472772901,0.103389592148385,3.77637114780899,0.0871790559536115,0.121077267316947
"UBE2A",2956.03128104771,0.209635234654059,0.0589735894539894,3.55473079720906,0.753156036972624,0.844668416286617
"NKRF",605.874002223507,-0.858060845289745,0.079844526476142,-10.7466458022785,1.31274516498051e-14,5.02189515069163e-14
"MIR766",0.0478801194992302,-4.15411021831665,3.77671236119638,-1.09992761455647,0.272413032436856,0.345729937099885
"SOWAHD",36.0744791345693,-0.628748186903328,0.224772375840566,-2.79726627683692,0.0460376390873891,0.0666292935093709
"RPL39",7278.60680759855,-0.815834151177789,0.0899343462657412,-9.07144139089123,1.57068928005137e-10,4.69436993277325e-10
