Geneid,p_value,padj
ADGRV1,9.984361516795371e-83,1.1877644908685369e-82
ADH1A,4.272864777161839e-180,7.2443621965665816e-180
ADH1B,0.0,0.0
ADH1C,1.0482306189649606e-29,1.0921559313534824e-29
ADH4,4.0879892316912026e-107,5.215952566941438e-107
ADH5,7.931770940357183e-243,1.7756061655885636e-242
ADH6,4.136084248937914e-108,5.291393218177837e-108
ADH7,1.7300616317021337e-78,2.0361365336763238e-78
ADHFE1,2.5226897440989775e-232,5.375512139577497e-232
ADI1,4.461368447950944e-237,9.725293234768276e-237
ADIG,0.0,0.0
ADIPOQ,1.6814874557819517e-84,2.0101021382099508e-84
ADIPOQ-AS1,6.826363549559528e-150,1.030151368978558e-149
ADIPOR1,2.427876853028e-311,7.941388927989e-311
ADIPOR2,0.0,0.0
ADIRF,0.0,0.0
ADIRF-AS1,0.0,0.0
ADK,2.182309392666605e-206,4.136452741973814e-206
ADM,0.0,0.0
ADM2,9.733002224676412e-10,9.795543262707073e-10
ADM5,0.0,0.0
ADNP,1.1635332196018055e-143,1.7083852336019368e-143
ADNP-AS1,9.962503526129726e-262,2.4472066700694634e-261
ADNP2,0.0,0.0
ADO,9.050597108787463e-216,1.7853062699856283e-215
ADORA1,2.7489351594194283e-177,4.615100124724582e-177
ADORA2A,0.0,0.0
ADORA2A-AS1,1.7876214111126822e-60,2.006151070845116e-60
ADORA2B,2.8192120037758027e-51,3.091519202463997e-51
ADORA3,2.6047405207669543e-80,3.080202657942391e-80
ADPGK,0.0,0.0
ADPGK-AS1,4.027637258445346e-181,6.854843305621351e-181
ADPRH,7.309035760828949e-221,1.4774647880362223e-220
ADPRHL1,1.2628050347106193e-225,2.6076074546347352e-225
ADPRM,1.787625927340689e-176,2.9928955316384546e-176
ADRA1A,7.45196544713665e-50,8.143822501180665e-50
ADRA1B,0.06160369933830931,0.061617080392946416
ADRA1D,2.932969095963915e-116,3.855256934544027e-116
ADRA2A,0.0,0.0
ADRA2B,2.8209724678737234e-222,5.744235438252818e-222
ADRA2C,3.9902405648916005e-248,9.166962558976672e-248
ADRB1,3.2104283991697465e-100,4.0146047937477864e-100
ADRB2,1.6586560613666506e-268,4.223968273078837e-268
ADRB3,2.0858331806531333e-205,3.936089103463465e-205
ADRM1,1.502576206946264e-187,2.6250333552417314e-187
ADSL,7.56500658413468e-294,2.224479075263306e-293
ADTRP,2.1473183773402638e-67,2.4528606032884616e-67
AEBP1,4.391239912127639e-42,4.7086395182948386e-42
AEBP2,1.4471792278179885e-156,2.2421004334352577e-156
AEN,9.074598902101232e-155,1.3946569996794523e-154
AFAP1,1.1530057887598373e-153,1.7635557882419777e-153
AFAP1-AS1,1.796459519273156e-62,2.0251509974414972e-62
AFAP1L1,1.3080240583203714e-143,1.920169976968135e-143
AFAP1L2,1.7197413332321416e-128,2.36644301077796e-128
AFDN,1.5143569547584478e-188,2.655487778092803e-188
AFF1,6.499177679544315e-101,8.14218450831583e-101
AFF2,5.38341979065171e-32,5.639889760202256e-32
AFF3,0.00023691576733125082,0.00023732808157999995
AFF4,2.2513187896753396e-138,3.23036045204319e-138
AFG3L1P,0.0,0.0
AFG3L2,1.8123465360111393e-271,4.6926975534323513e-271
AFM,0.0,0.0
AFMID,2.2671765628679296e-131,3.158627204615225e-131
AFP,0.0,0.0
AFTPH,4.301635071491875e-140,6.221549462028326e-140
AGA,5.369684729689612e-195,9.66551647379983e-195
AGAP1,1.408818526306032e-73,1.6350760031086843e-73
AGAP1-IT1,1.3759970940012805e-223,2.8173372247474863e-223
AGAP10P,1.8748703368964402e-209,3.603858293262952e-209
AGAP12P,1.0326029970045777e-99,1.2893677207567329e-99
AGAP13P,0.0,0.0
AGAP2,1.4545165283414885e-35,1.5349155994378233e-35
AGAP2-AS1,4.003905086273625e-184,6.893950845525271e-184
AGAP3,0.0,0.0
AGAP4,0.0,0.0
AGAP5,1.3959117016054177e-291,4.047792319617523e-291
AGAP6,0.0,0.0
AGAP7P,2.8307520859734775e-198,5.168535767442771e-198
AGAP9,0.0,0.0
AGBL1,2.499555609623452e-252,5.856886663542679e-252
AGBL1-AS1,0.0,0.0
AGBL2,7.760009889782724e-157,1.204114218239368e-156
AGBL3,1.3453047321523034e-288,3.832503854624428e-288
AGBL4,5.4778603131631395e-171,8.989469411993452e-171
AGBL4-IT1,0.0,0.0
AGBL5,1.2060778609975197e-102,1.518246947600158e-102
AGBL5-AS1,0.0,0.0
AGER,7.568746101323494e-46,8.185964404212332e-46
AGFG1,1.669817485282807e-149,2.5160914778240413e-149
AGFG2,0.0,0.0
AGGF1,1.7691094418024375e-296,5.279582085296088e-296
AGK,1.292633995592477e-127,1.7740584832213397e-127
AGL,2.758803685624272e-209,5.297639370960237e-209
AGMAT,4.4457566279643155e-281,1.2110636606986558e-280
AGMO,3.401349176020944e-121,4.544870490900483e-121
AGPAT1,2.5907290343064695e-197,4.711234917137047e-197
AGPAT2,0.0,0.0
AGPAT3,1.6663079906591253e-302,5.153825252140744e-302
AGPAT4,4.441513549966507e-281,1.2101941772121756e-280
AGPAT4-IT1,5.0351685536856587e-166,8.104706430373225e-166
